nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Al Majid,Masjid,"Jl. Pramuka No.164A, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",,"4,6",78,"
0852-8070-6855",Ada,Tidak Tersedia,-6.5484328,107.4267874,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jamie Al Musthofa - Sukasari - Tegalmunjul - Purwakarta,Masjid,"FC4X+43X, Gg. Sukasari II, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",Buka 24 jam,"4,3",3,"
0856-9494-5158",Ada,Tidak Tersedia,-6.5446413,107.4477256,Aksesibilitas Tersedia,[]
Masjid Jami' Al Farouq Cianting,Tempat Ibadah,"9C56+5XV, Jl. Raya Cianting, Cianting, Kec. Sukatani, Kabupaten Purwakarta, Jawa Barat 41167",,"5,0",10,,Tidak Ada ,Tidak Tersedia,-6.6420016,107.4124315,Aksesibilitas Tersedia,[]
Masjid Uswatun Hasanah,Masjid,"Jl. Jend. Ahmad Yani Blok Sukarata No.102, RT.18/RW.6, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",,"4,5",4,,Tidak Ada ,Tidak Tersedia,-6.5467401,107.4395597,Aksesibilitas Tersedia,[]
Masjid Agung Baing Yusuf,Masjid,"CCVR+MCW, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"4,7",1.410,,Tidak Ada ,Tidak Tersedia,-6.5557641,107.4410695,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Nurul Huda,Masjid,"FF83+X4R, Jalan Perum Munjuljaya Permai, Munjuljaya, Purwakarta, Purwakarta Regency, West Java 41117",,"4,6",27,,Tidak Ada ,Tidak Tersedia,-6.5325113,107.4527542,Aksesibilitas Tersedia,[]
Masjid RSUD Amira,Masjid,"FFC4+GV2, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5287382,107.457154,Aksesibilitas Tersedia,[]
Masjid Al-Firdaus Purwakarta,Masjid,"8C2X+VHQ, Jl. Wanayasa-Bojong-Sawit, Sawit, Kec. Darangdan, Kabupaten Purwakarta, Jawa Barat 41163",04.00 hingga 22.00,"4,7",99,,Tidak Ada ,Tidak Tersedia,-6.6977879,107.4489859,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Tajug Gede Cilodong,Masjid,"GFWJ+JPH, Cikopo, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181",Buka 24 jam,"4,6",412,,Tidak Ada ,Tidak Tersedia,-6.4534313,107.4818575,Aksesibilitas Tersedia,[]
Masjid Jami Al-Qohhar,Masjid,"FC2Q+4QR, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,7",19,,Tidak Ada ,Tidak Tersedia,-6.5496349,107.4393911,Aksesibilitas Tersedia,[]
MASJID HAYATUL HASANAH,Masjid,"FC8R+9G8, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"4,9",13,,Tidak Ada ,Tidak Tersedia,-6.5340751,107.4413392,Aksesibilitas Tersedia,[]
Masjid Al-Maghribie,Masjid,"FC4M+6JG, Kp.Sukarata Kelurahan, RT.20/RW.06, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"4,7",7,"
0859-2621-1968",Ada,Tidak Tersedia,-6.5444294,107.4340642,Aksesibilitas Tersedia,[]
Masjid Raya Bukit Indah,Masjid,"HF46+73G, Wanakerta, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181",Buka 24 jam,"4,7",274,,Tidak Ada ,Tidak Tersedia,-6.4443208,107.4601924,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al-Hidayah,Masjid,"FC7R+MFH, Jl. Anggrek II, RT.025/RW.003, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"4,8",31,,Tidak Ada ,Tidak Tersedia,-6.5358059,107.4412425,Aksesibilitas Tersedia,[]
Masjid Jamie Al-Manaar Purwakarta,Masjid,"Jl. Purnawarman Barat, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41112",04.00 hingga 20.00,"4,7",24,,Tidak Ada ,Tidak Tersedia,-6.5623784,107.4434349,Aksesibilitas Tersedia,[]
Masjid Besar Hidayah Kecamatan Babakan Cikao Purwakarta,Masjid,"FCGQ+97W, Babakan Cikao, Ciwareng, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41151",,"4,7",30,"
0819-0941-5888",Ada,Tidak Tersedia,-6.5240159,107.4382029,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami An-Nur,Masjid,"FFG2+GQ9, Jl. Knpi, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"3,9",8,,Tidak Ada ,Tidak Tersedia,-6.5237219,107.4519853,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Besar Al-Hikmah,Masjid,"FFV7+WHF, Jl. Raya Cibening Bungursari, Ciwangi, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41181",,"4,6",162,,Tidak Ada ,Tidak Tersedia,-6.5051804,107.4639259,Aksesibilitas Tersedia,[]
Masjid Al Husna,Masjid,"FC5Q+QJ4, Unnamed Road, Purwamekar, Purwakarta, Purwakarta Regency, West Java 41119",Buka 24 jam,"4,7",13,"
0838-1609-8988",Ada,Tidak Tersedia,-6.5406095,107.4390832,Aksesibilitas Tersedia,[]
Masjid At-Taqwa,Masjid,"Jl. Ipik Gandamanah Blok Krajan No.51, RT.1/RW.3, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41116",Buka 24 jam,"3,5",10,,Tidak Ada ,Tidak Tersedia,-6.5426785,107.4500177,Aksesibilitas Tersedia,[]
Masjid Fatimah,Masjid,"Jl. Kapten Halim, Lebakanyar, Kec. Pasawahan, Kabupaten Purwakarta, Jawa Barat 41111",09.00 hingga 21.00,"4,9",438,"
0877-7864-2742",Ada,Tidak Tersedia,-6.5682097,107.460224,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Qona'at,Masjid,"Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",,"5,0",3,"
0815-8579-7096",Ada,Tidak Tersedia,-6.542348,107.4504218,Aksesibilitas Tersedia,[]
Masjid Sejuta Manfaat Nurul Qolbi,Masjid,"Perumahan Dian Anyar, Jl. Ipik Gandamanah, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"4,7",58,"
(0264) 208880",Ada,Tidak Tersedia,-6.5220292,107.466757,Aksesibilitas Tersedia,[]
Masjid Jamie Ali Hamdan,Masjid,"FCMJ+MW9, Maracang, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,6",45,,Tidak Ada ,Tidak Tersedia,-6.5158435,107.4323576,Aksesibilitas Tersedia,[]
Masjid Al Ikhlash - LDII,Masjid,"Jl. Pramuka No.255, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",Buka 24 jam,"4,9",24,,Tidak Ada ,Tersedia,-6.545426,107.4248934,Aksesibilitas Tersedia,[]
Masjid Jami Al-Falah,Masjid,"Masjid Kami Al-falah, Darangdan, Kec. Darangdan, Kabupaten Purwakarta, Jawa Barat 41163",,"4,9",93,,Tidak Ada ,Tidak Tersedia,-6.6785891,107.4277252,Aksesibilitas Tersedia,[]
Masjid Jami As-Syuhada Purwakarta,Masjid,"Jl. Ipik Gandamanah Gg. Masjid No.3 RT 003/006, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5203423,107.4639544,Aksesibilitas Tersedia,[]
Masjid Al Falah,Masjid,"CCQR+WGG, Gg. Wortel, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5601764,107.441339,Aksesibilitas Tersedia,[]
Mushola AL - HUDA,Masjid,"FCCJ+C9G, Maracang, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,8",12,,Tidak Ada ,Tidak Tersedia,-6.5289311,107.4309418,Aksesibilitas Tersedia,[]
Masjid Bashirah,Masjid,"Jl. Garuda No.47, RT.14/RW.4, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"5,0",12,,Tidak Ada ,Tidak Tersedia,-6.557578,107.4475725,Aksesibilitas Tersedia,[]
MASJID AR-ROUDLOH,Masjid,"CCPW+WX9, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,7",69,,Tidak Ada ,Tidak Tersedia,-6.5627135,107.447485,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid At Taufiq,Masjid,"FCFV+Q63, Kp.Mekarsari, Ciwareng, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Buka 24 jam,"4,8",4,,Tidak Ada ,Tidak Tersedia,-6.5256125,107.4430469,Aksesibilitas Tersedia,[]
Pc Persis Purwakarta,Masjid,"CCWV+MH4, Jl. Laks. Laut RE. Martadinata, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",04.00 hingga 10.00,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.5533649,107.4439676,Aksesibilitas Tersedia,[]
Masjid Besar Campaka Purwakarta,Masjid,"Jl. Raya Campaka No.6, Campaka, Kec. Campaka, Kabupaten Purwakarta, Jawa Barat 41181",,"4,7",65,,Tidak Ada ,Tidak Tersedia,-6.5097112,107.4819515,Aksesibilitas Tersedia,[]
Masjid At Taqwa,Masjid,"CCRW+4JH Rt 013 Rw 09 Langensari 1 komplek Keresidenan, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",Buka 24 jam,"4,8",16,,Tidak Ada ,Tidak Tersedia,-6.5597097,107.4466048,Aksesibilitas Tersedia,[]
MASJID JAMI AL HUDA,Masjid,"9C47+VXQ, Cianting, Kec. Sukatani, Kabupaten Purwakarta, Jawa Barat 41167",Buka 24 jam,"4,8",31,,Tidak Ada ,Tidak Tersedia,-6.6427931,107.4149857,Aksesibilitas Tersedia,[]
Karang Layung Masjid Jami Al falah,Masjid,"Karang layung, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,7",21,,Tidak Ada ,Tidak Tersedia,-6.5498888,107.4481113,Aksesibilitas Tersedia,[]
Masjid Birrulwalidain Terdekat,Masjid,"Gg. Tj. II No.37-28, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Buka 24 jam,"4,6",9,,Tidak Ada ,Tidak Tersedia,-6.5538821,107.4434178,Aksesibilitas Tersedia,[]
Masjid Jami Al Muin,Masjid,"FC9P+QGC, Jl. Taman Pahlawan, Purwamekar, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"4,8",26,,Tidak Ada ,Tidak Tersedia,-6.530557,107.436262,Aksesibilitas Tersedia,[]
Masjid Jami' Fatimah Azzahra (Salafi),Masjid,"Jl. Ipik Gandamanah No.3, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41116",,"4,8",15,,Tidak Ada ,Tidak Tersedia,-6.5408147,107.4506379,Aksesibilitas Tersedia,[]
Masjid Ar-Risalah,Masjid,"Jl. Laks. Laut RE. Martadinata No.16, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,6",30,,Tidak Ada ,Tidak Tersedia,-6.5533379,107.4440129,Aksesibilitas Tersedia,[]
Masjid Jamie Al Muhajirin,Masjid,"FCCV+CV4, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"4,9",36,,Tidak Ada ,Tidak Tersedia,-6.528985,107.4447186,Aksesibilitas Tersedia,[]
Masjid KH Muhammad Aof,Masjid,"Jl. Baing Marjuki No.40, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.5558014,107.4385537,Aksesibilitas Tersedia,[]
Masjid Al Azhar,Masjid,"FFG8+89C, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"4,8",26,,Tidak Ada ,Tidak Tersedia,-6.5241937,107.4658968,Aksesibilitas Tersedia,[]
WISATA ISLAMI MASJID ENDAN ANDANSIH,Institusi Pendidikan,"8F2F+7H4, Neglasari, Kec. Darangdan, Kabupaten Purwakarta, Jawa Barat 41163",,"4,9",19,,Tidak Ada ,Tidak Tersedia,-6.6993645,107.4739479,Aksesibilitas Tersedia,[]
Masjid Al-Idrus,Masjid,"CCWR+P2G, Gg. Kaum kaler, RT.004/RW.001, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5531835,107.4400699,Aksesibilitas Tersedia,[]
Masjid Alfalah Sadang,Masjid,"No Jl. Raya Sadang - Subang No.9, Ciseureuh, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"4,6",282,,Tidak Ada ,Tidak Tersedia,-6.5112108,107.4630958,Aksesibilitas Tersedia,[]
Masjid Asy Syifaa,Masjid,"CCRV+MRW, Gg. Tupai I, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",Buka 24 jam,"4,9",63,,Tidak Ada ,Tidak Tersedia,-6.5582618,107.4445684,Aksesibilitas Tersedia,[]
Masjid Jamie Baeturrohman,Masjid,"Jl. Kapten Halim No.4, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",04.00 hingga 20.55,"4,8",25,,Tidak Ada ,Tidak Tersedia,-6.564129,107.4508709,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Asalafiyah,Masjid,"Jl. Kp. Karang Anyar, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5512359,107.4465679,Aksesibilitas Tersedia,[]
Masjid An-nur,Masjid,"Jl. Swadaya 2 Blok No., Jl. Swadaya 2 Blok Sukarata No.27, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"4,7",15,,Tidak Ada ,Tidak Tersedia,-6.5462278,107.4367049,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Darussalam,Masjid,"CC3H+W38, kp cilampahan, Sukajaya, Kec. Sukatani, Kabupaten Purwakarta, Jawa Barat 41167",Buka 24 jam,"4,4",44,,Tidak Ada ,Tidak Tersedia,-6.5952072,107.4276952,Aksesibilitas Tersedia,[]
Masjid Jami Al Ihklas,Masjid,"Jl. Pramuka No.1, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",09.00 hingga 20.00,"4,7",47,,Tidak Ada ,Tidak Tersedia,-6.5617209,107.4326879,Aksesibilitas Tersedia,[]
Masjid An-Nur RW 04 Nagri Kidul,Masjid,"Jl. Garuda No.4, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,9",38,,Tidak Ada ,Tidak Tersedia,-6.5586398,107.4477982,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al Magfiroh,Masjid,"Jl. Mekarsari 1 No.Rt 015, RT.07, Purwamekar, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",,"4,8",8,,Tidak Ada ,Tidak Tersedia,-6.5339912,107.440236,Aksesibilitas Tersedia,[]
Masjid Jamie Al-Muhsin,Masjid,"FFP4+P9X, Mulyamekar, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,6",141,,Tidak Ada ,Tidak Tersedia,-6.5131449,107.4559699,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Munawaroh,Masjid,"Blok Beringin Jl. Veteran No.13, RT.48/RW.2, Nagri Kaler, Purwakarta, Purwakarta Regency, West Java 41115",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.5355993,107.445324,Aksesibilitas Tersedia,[]
Masjid Al Ikhlas,Masjid,"FC5P+4MG, Jl. Pasar Leuwi Panjang/Pasar Senen, Koncara, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"4,5",4,"
0878-7943-5295",Ada,Tidak Tersedia,-6.5421907,107.4366961,Aksesibilitas Tersedia,[]
Masjid Jami Al Hikmah,Masjid,"FFH6+RJM, Jl. Ipik Gandamanah, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"4,5",19,,Tidak Ada ,Tidak Tersedia,-6.5204103,107.4615354,Aksesibilitas Tersedia,[]
Masjid Al-Hidayyah,Masjid,"FFC7+G85, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"4,8",11,,Tidak Ada ,Tidak Tersedia,-6.5287352,107.4633644,Aksesibilitas Tersedia,[]
Masjid An-Nur,Masjid,"FFM4+4MR, Komplek, Jl. Pesona Griya Asri Jl. Veteran, Ciseureuh, Purwakarta, Purwakarta Regency, West Java 41118",,"5,0",63,,Tidak Ada ,Tidak Tersedia,-6.5171415,107.4566531,Aksesibilitas Tersedia,[]
Masjid baing Marzuki,Masjid,"CCVQ+8C9, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"5,0",1,"
(0264) 355354",Ada,Tidak Tersedia,-6.5567058,107.4385971,Aksesibilitas Tersedia,[]
Masjid PLN UP3 Purwakarta,Masjid,"CCWW+68C, Jl. K.K Singawinata, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Buka 24 jam,"4,6",54,,Tidak Ada ,Tidak Tersedia,-6.5544484,107.4457721,Aksesibilitas Tersedia,[]
Masjid Al Hidayah,Masjid,"Blok Beringin No., Jl. Veteran Blok Beringin No.43, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",,"4,5",2,,Tidak Ada ,Tidak Tersedia,-6.5369208,107.4474562,Aksesibilitas Tersedia,[]
Masjid Kasyfur Rahman,Masjid,"FF83+PV9, Jl. Munjul Jaya Permai, RT.2/RW.1, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"4,6",17,"
0815-7336-1619",Ada,Tersedia,-6.5332001,107.454727,Aksesibilitas Tersedia,[]
Masjid Jami An Nur,Masjid,"Jl. Taman Pahlawan No.142, Maracang, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,7",33,,Tidak Ada ,Tidak Tersedia,-6.527108,107.4349564,Aksesibilitas Tersedia,[]
Masjid Jami Al Mujahidin,Masjid,"Jl. Lodaya Kp. Baru No.60, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,8",18,,Tidak Ada ,Tidak Tersedia,-6.5554453,107.4498574,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al Istiqomah,Masjid,"FCJX+9J4, Jl. Veteran, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"4,3",24,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Baitul Ukhuwah PPR,Masjid,"FC2W+QFG, Unnamed Road, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,8",9,,Tidak Ada ,Tidak Tersedia,-6.5480618,107.4462046,Aksesibilitas Tersedia,[]
Masjid Al-Furqon,Masjid,"FF56+4F4, Perum Jl. Graha Citalang Permai, Citalang, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,2",11,,Tidak Ada ,Tidak Tersedia,-6.5422293,107.4612025,Aksesibilitas Tersedia,[]
Masjid Jami Da'watul fallah,Masjid,"FF9G+HPR, Jl. Munjul Jaya Cilengkeng Purwakarta, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",Buka 24 jam,"4,6",7,,Tidak Ada ,Tidak Tersedia,-6.5310063,107.4767704,Aksesibilitas Tersedia,[]
Masjid Jami Al-Aziz,Masjid,"Jl. Taman Pahlawan No.48, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",03.30 hingga 20.00,"4,8",48,,Tidak Ada ,Tidak Tersedia,-6.5384814,107.4414764,Aksesibilitas Tersedia,[]
